INVS_PLN_ARR_PRD_SEQ_NUM,INVST_PLAN_ARR_SEQ_NUM,PROD_ALT_NUM,PROD_CDE_ALT_CLASS_CDE,CTRY_PROD_TRADE_CDE,ASET_CLASS_CDE,LAST_INGESTION_TIMESTAMP,PRM_LNE_OF_BUS_CDE_FILTER,CTRY_CDE_FILTER,ENTITY_CDE_FILTER
17894578237,7898079667,106987,158995,45984194911, qydt252,Current_timestamp  , 147kc95,  SAP15477, 57SAT49
17894578238,7898079668,106988,158996,45984194912, qydt253,Current_timestamp  , 147kc96,  SAP15478, 57SAT50
17894578239,7898079669,106989,158997,45984194913, qydt254,Current_timestamp  , 147kc97,  SAP15479, 57SAT51
17894578240,7898079670,106990,158998,45984194914, qydt255,Current_timestamp  , 147kc98,  SAP15480, 57SAT52
17894578241,7898079671,106991,158999,45984194915, qydt256,Current_timestamp  , 147kc99,  SAP15481, 57SAT53
17894578242,7898079672,106992,159000,45984194916, qydt257,Current_timestamp  , 147kc100,  SAP15482, 57SAT54
17894578243,7898079673,106993,159001,45984194917, qydt258,Current_timestamp  , 147kc101,  SAP15483, 57SAT55
17894578244,7898079674,106994,159002,45984194918, qydt259,Current_timestamp  , 147kc102,  SAP15484, 57SAT56
17894578245,7898079675,106995,159003,45984194919, qydt260,Current_timestamp  , 147kc103,  SAP15485, 57SAT57
17894578246,7898079676,106996,159004,45984194920, qydt261,Current_timestamp  , 147kc104,  SAP15486, 57SAT58
17894578247,7898079677,106997,159005,45984194921, qydt262,Current_timestamp  , 147kc105,  SAP15487, 57SAT59
17894578248,7898079678,106998,159006,45984194922, qydt263,Current_timestamp  , 147kc106,  SAP15488, 57SAT60
17894578249,7898079679,106999,159007,45984194923, qydt264,Current_timestamp  , 147kc107,  SAP15489, 57SAT61
17894578250,7898079680,107000,159008,45984194924, qydt265,Current_timestamp  , 147kc108,  SAP15490, 57SAT62
17894578251,7898079681,107001,159009,45984194925, qydt266,Current_timestamp  , 147kc109,  SAP15491, 57SAT63
17894578252,7898079682,107002,159010,45984194926, qydt267,Current_timestamp  , 147kc110,  SAP15492, 57SAT64
17894578253,7898079683,107003,159011,45984194927, qydt268,Current_timestamp  , 147kc111,  SAP15493, 57SAT65
17894578254,7898079684,107004,159012,45984194928, qydt269,Current_timestamp  , 147kc112,  SAP15494, 57SAT66
17894578255,7898079685,107005,159013,45984194929, qydt270,Current_timestamp  , 147kc113,  SAP15495, 57SAT67
17894578256,7898079686,107006,159014,45984194930, qydt271,Current_timestamp  , 147kc114,  SAP15496, 57SAT68
17894578257,7898079687,107007,159015,45984194931, qydt272,Current_timestamp  , 147kc115,  SAP15497, 57SAT69
17894578258,7898079688,107008,159016,45984194932, qydt273,Current_timestamp  , 147kc116,  SAP15498, 57SAT70
17894578259,7898079689,107009,159017,45984194933, qydt274,Current_timestamp  , 147kc117,  SAP15499, 57SAT71
17894578260,7898079690,107010,159018,45984194934, qydt275,Current_timestamp  , 147kc118,  SAP15500, 57SAT72
17894578261,7898079691,107011,159019,45984194935, qydt276,Current_timestamp  , 147kc119,  SAP15501, 57SAT73
17894578262,7898079692,107012,159020,45984194936, qydt277,Current_timestamp  , 147kc120,  SAP15502, 57SAT74
17894578263,7898079693,107013,159021,45984194937, qydt278,Current_timestamp  , 147kc121,  SAP15503, 57SAT75
17894578264,7898079694,107014,159022,45984194938, qydt279,Current_timestamp  , 147kc122,  SAP15504, 57SAT76
17894578265,7898079695,107015,159023,45984194939, qydt280,Current_timestamp  , 147kc123,  SAP15505, 57SAT77
17894578266,7898079696,107016,159024,45984194940, qydt281,Current_timestamp  , 147kc124,  SAP15506, 57SAT78
17894578267,7898079697,107017,159025,45984194941, qydt282,Current_timestamp  , 147kc125,  SAP15507, 57SAT79
17894578268,7898079698,107018,159026,45984194942, qydt283,Current_timestamp  , 147kc126,  SAP15508, 57SAT80
17894578269,7898079699,107019,159027,45984194943, qydt284,Current_timestamp  , 147kc127,  SAP15509, 57SAT81
17894578270,7898079700,107020,159028,45984194944, qydt285,Current_timestamp  , 147kc128,  SAP15510, 57SAT82
17894578271,7898079701,107021,159029,45984194945, qydt286,Current_timestamp  , 147kc129,  SAP15511, 57SAT83
17894578272,7898079702,107022,159030,45984194946, qydt287,Current_timestamp  , 147kc130,  SAP15512, 57SAT84
17894578273,7898079703,107023,159031,45984194947, qydt288,Current_timestamp  , 147kc131,  SAP15513, 57SAT85
17894578274,7898079704,107024,159032,45984194948, qydt289,Current_timestamp  , 147kc132,  SAP15514, 57SAT86
17894578275,7898079705,107025,159033,45984194949, qydt290,Current_timestamp  , 147kc133,  SAP15515, 57SAT87
17894578276,7898079706,107026,159034,45984194950, qydt291,Current_timestamp  , 147kc134,  SAP15516, 57SAT88
17894578277,7898079707,107027,159035,45984194951, qydt292,Current_timestamp  , 147kc135,  SAP15517, 57SAT89
17894578278,7898079708,107028,159036,45984194952, qydt293,Current_timestamp  , 147kc136,  SAP15518, 57SAT90
17894578279,7898079709,107029,159037,45984194953, qydt294,Current_timestamp  , 147kc137,  SAP15519, 57SAT91
17894578280,7898079710,107030,159038,45984194954, qydt295,Current_timestamp  , 147kc138,  SAP15520, 57SAT92
17894578281,7898079711,107031,159039,45984194955, qydt296,Current_timestamp  , 147kc139,  SAP15521, 57SAT93
17894578282,7898079712,107032,159040,45984194956, qydt297,Current_timestamp  , 147kc140,  SAP15522, 57SAT94
17894578283,7898079713,107033,159041,45984194957, qydt298,Current_timestamp  , 147kc141,  SAP15523, 57SAT95
17894578284,7898079714,107034,159042,45984194958, qydt299,Current_timestamp  , 147kc142,  SAP15524, 57SAT96
17894578285,7898079715,107035,159043,45984194959, qydt300,Current_timestamp  , 147kc143,  SAP15525, 57SAT97
17894578286,7898079716,107036,159044,45984194960, qydt301,Current_timestamp  , 147kc144,  SAP15526, 57SAT98
17894578287,7898079717,107037,159045,45984194961, qydt302,Current_timestamp  , 147kc145,  SAP15527, 57SAT99
17894578288,7898079718,107038,159046,45984194962, qydt303,Current_timestamp  , 147kc146,  SAP15528, 57SAT100
17894578289,7898079719,107039,159047,45984194963, qydt304,Current_timestamp  , 147kc147,  SAP15529, 57SAT101
17894578290,7898079720,107040,159048,45984194964, qydt305,Current_timestamp  , 147kc148,  SAP15530, 57SAT102
17894578291,7898079721,107041,159049,45984194965, qydt306,Current_timestamp  , 147kc149,  SAP15531, 57SAT103
17894578292,7898079722,107042,159050,45984194966, qydt307,Current_timestamp  , 147kc150,  SAP15532, 57SAT104
17894578293,7898079723,107043,159051,45984194967, qydt308,Current_timestamp  , 147kc151,  SAP15533, 57SAT105
17894578294,7898079724,107044,159052,45984194968, qydt309,Current_timestamp  , 147kc152,  SAP15534, 57SAT106
17894578295,7898079725,107045,159053,45984194969, qydt310,Current_timestamp  , 147kc153,  SAP15535, 57SAT107
17894578296,7898079726,107046,159054,45984194970, qydt311,Current_timestamp  , 147kc154,  SAP15536, 57SAT108
17894578297,7898079727,107047,159055,45984194971, qydt312,Current_timestamp  , 147kc155,  SAP15537, 57SAT109
17894578298,7898079728,107048,159056,45984194972, qydt313,Current_timestamp  , 147kc156,  SAP15538, 57SAT110
17894578299,7898079729,107049,159057,45984194973, qydt314,Current_timestamp  , 147kc157,  SAP15539, 57SAT111
17894578300,7898079730,107050,159058,45984194974, qydt315,Current_timestamp  , 147kc158,  SAP15540, 57SAT112
17894578301,7898079731,107051,159059,45984194975, qydt316,Current_timestamp  , 147kc159,  SAP15541, 57SAT113
17894578302,7898079732,107052,159060,45984194976, qydt317,Current_timestamp  , 147kc160,  SAP15542, 57SAT114
17894578303,7898079733,107053,159061,45984194977, qydt318,Current_timestamp  , 147kc161,  SAP15543, 57SAT115
17894578304,7898079734,107054,159062,45984194978, qydt319,Current_timestamp  , 147kc162,  SAP15544, 57SAT116
17894578305,7898079735,107055,159063,45984194979, qydt320,Current_timestamp  , 147kc163,  SAP15545, 57SAT117
17894578306,7898079736,107056,159064,45984194980, qydt321,Current_timestamp  , 147kc164,  SAP15546, 57SAT118
17894578307,7898079737,107057,159065,45984194981, qydt322,Current_timestamp  , 147kc165,  SAP15547, 57SAT119
17894578308,7898079738,107058,159066,45984194982, qydt323,Current_timestamp  , 147kc166,  SAP15548, 57SAT120
17894578309,7898079739,107059,159067,45984194983, qydt324,Current_timestamp  , 147kc167,  SAP15549, 57SAT121
17894578310,7898079740,107060,159068,45984194984, qydt325,Current_timestamp  , 147kc168,  SAP15550, 57SAT122
17894578311,7898079741,107061,159069,45984194985, qydt326,Current_timestamp  , 147kc169,  SAP15551, 57SAT123
17894578312,7898079742,107062,159070,45984194986, qydt327,Current_timestamp  , 147kc170,  SAP15552, 57SAT124
17894578313,7898079743,107063,159071,45984194987, qydt328,Current_timestamp  , 147kc171,  SAP15553, 57SAT125
17894578314,7898079744,107064,159072,45984194988, qydt329,Current_timestamp  , 147kc172,  SAP15554, 57SAT126
17894578315,7898079745,107065,159073,45984194989, qydt330,Current_timestamp  , 147kc173,  SAP15555, 57SAT127
17894578316,7898079746,107066,159074,45984194990, qydt331,Current_timestamp  , 147kc174,  SAP15556, 57SAT128
17894578317,7898079747,107067,159075,45984194991, qydt332,Current_timestamp  , 147kc175,  SAP15557, 57SAT129
17894578318,7898079748,107068,159076,45984194992, qydt333,Current_timestamp  , 147kc176,  SAP15558, 57SAT130
17894578319,7898079749,107069,159077,45984194993, qydt334,Current_timestamp  , 147kc177,  SAP15559, 57SAT131
17894578320,7898079750,107070,159078,45984194994, qydt335,Current_timestamp  , 147kc178,  SAP15560, 57SAT132
17894578321,7898079751,107071,159079,45984194995, qydt336,Current_timestamp  , 147kc179,  SAP15561, 57SAT133
17894578322,7898079752,107072,159080,45984194996, qydt337,Current_timestamp  , 147kc180,  SAP15562, 57SAT134
17894578323,7898079753,107073,159081,45984194997, qydt338,Current_timestamp  , 147kc181,  SAP15563, 57SAT135
17894578324,7898079754,107074,159082,45984194998, qydt339,Current_timestamp  , 147kc182,  SAP15564, 57SAT136
17894578325,7898079755,107075,159083,45984194999, qydt340,Current_timestamp  , 147kc183,  SAP15565, 57SAT137
17894578326,7898079756,107076,159084,45984195000, qydt341,Current_timestamp  , 147kc184,  SAP15566, 57SAT138
17894578327,7898079757,107077,159085,45984195001, qydt342,Current_timestamp  , 147kc185,  SAP15567, 57SAT139
17894578328,7898079758,107078,159086,45984195002, qydt343,Current_timestamp  , 147kc186,  SAP15568, 57SAT140
17894578329,7898079759,107079,159087,45984195003, qydt344,Current_timestamp  , 147kc187,  SAP15569, 57SAT141
17894578330,7898079760,107080,159088,45984195004, qydt345,Current_timestamp  , 147kc188,  SAP15570, 57SAT142
17894578331,7898079761,107081,159089,45984195005, qydt346,Current_timestamp  , 147kc189,  SAP15571, 57SAT143
17894578332,7898079762,107082,159090,45984195006, qydt347,Current_timestamp  , 147kc190,  SAP15572, 57SAT144
17894578333,7898079763,107083,159091,45984195007, qydt348,Current_timestamp  , 147kc191,  SAP15573, 57SAT145
17894578334,7898079764,107084,159092,45984195008, qydt349,Current_timestamp  , 147kc192,  SAP15574, 57SAT146
17894578335,7898079765,107085,159093,45984195009, qydt350,Current_timestamp  , 147kc193,  SAP15575, 57SAT147
17894578336,7898079766,107086,159094,45984195010, qydt351,Current_timestamp  , 147kc194,  SAP15576, 57SAT148
17894578337,7898079767,107087,159095,45984195011, qydt352,Current_timestamp  , 147kc195,  SAP15577, 57SAT149
17894578338,7898079768,107088,159096,45984195012, qydt353,Current_timestamp  , 147kc196,  SAP15578, 57SAT150
17894578339,7898079769,107089,159097,45984195013, qydt354,Current_timestamp  , 147kc197,  SAP15579, 57SAT151
17894578340,7898079770,107090,159098,45984195014, qydt355,Current_timestamp  , 147kc198,  SAP15580, 57SAT152
17894578341,7898079771,107091,159099,45984195015, qydt356,Current_timestamp  , 147kc199,  SAP15581, 57SAT153
17894578342,7898079772,107092,159100,45984195016, qydt357,Current_timestamp  , 147kc200,  SAP15582, 57SAT154
17894578343,7898079773,107093,159101,45984195017, qydt358,Current_timestamp  , 147kc201,  SAP15583, 57SAT155
17894578344,7898079774,107094,159102,45984195018, qydt359,Current_timestamp  , 147kc202,  SAP15584, 57SAT156
17894578345,7898079775,107095,159103,45984195019, qydt360,Current_timestamp  , 147kc203,  SAP15585, 57SAT157
17894578346,7898079776,107096,159104,45984195020, qydt361,Current_timestamp  , 147kc204,  SAP15586, 57SAT158
17894578347,7898079777,107097,159105,45984195021, qydt362,Current_timestamp  , 147kc205,  SAP15587, 57SAT159
17894578348,7898079778,107098,159106,45984195022, qydt363,Current_timestamp  , 147kc206,  SAP15588, 57SAT160
17894578349,7898079779,107099,159107,45984195023, qydt364,Current_timestamp  , 147kc207,  SAP15589, 57SAT161
17894578350,7898079780,107100,159108,45984195024, qydt365,Current_timestamp  , 147kc208,  SAP15590, 57SAT162
17894578351,7898079781,107101,159109,45984195025, qydt366,Current_timestamp  , 147kc209,  SAP15591, 57SAT163
17894578352,7898079782,107102,159110,45984195026, qydt367,Current_timestamp  , 147kc210,  SAP15592, 57SAT164
17894578353,7898079783,107103,159111,45984195027, qydt368,Current_timestamp  , 147kc211,  SAP15593, 57SAT165
17894578354,7898079784,107104,159112,45984195028, qydt369,Current_timestamp  , 147kc212,  SAP15594, 57SAT166
17894578355,7898079785,107105,159113,45984195029, qydt370,Current_timestamp  , 147kc213,  SAP15595, 57SAT167
17894578356,7898079786,107106,159114,45984195030, qydt371,Current_timestamp  , 147kc214,  SAP15596, 57SAT168
17894578357,7898079787,107107,159115,45984195031, qydt372,Current_timestamp  , 147kc215,  SAP15597, 57SAT169
17894578358,7898079788,107108,159116,45984195032, qydt373,Current_timestamp  , 147kc216,  SAP15598, 57SAT170
17894578359,7898079789,107109,159117,45984195033, qydt374,Current_timestamp  , 147kc217,  SAP15599, 57SAT171
17894578360,7898079790,107110,159118,45984195034, qydt375,Current_timestamp  , 147kc218,  SAP15600, 57SAT172
17894578361,7898079791,107111,159119,45984195035, qydt376,Current_timestamp  , 147kc219,  SAP15601, 57SAT173
17894578362,7898079792,107112,159120,45984195036, qydt377,Current_timestamp  , 147kc220,  SAP15602, 57SAT174
17894578363,7898079793,107113,159121,45984195037, qydt378,Current_timestamp  , 147kc221,  SAP15603, 57SAT175
17894578364,7898079794,107114,159122,45984195038, qydt379,Current_timestamp  , 147kc222,  SAP15604, 57SAT176
17894578365,7898079795,107115,159123,45984195039, qydt380,Current_timestamp  , 147kc223,  SAP15605, 57SAT177
17894578366,7898079796,107116,159124,45984195040, qydt381,Current_timestamp  , 147kc224,  SAP15606, 57SAT178
17894578367,7898079797,107117,159125,45984195041, qydt382,Current_timestamp  , 147kc225,  SAP15607, 57SAT179
17894578368,7898079798,107118,159126,45984195042, qydt383,Current_timestamp  , 147kc226,  SAP15608, 57SAT180
17894578369,7898079799,107119,159127,45984195043, qydt384,Current_timestamp  , 147kc227,  SAP15609, 57SAT181
17894578370,7898079800,107120,159128,45984195044, qydt385,Current_timestamp  , 147kc228,  SAP15610, 57SAT182
17894578371,7898079801,107121,159129,45984195045, qydt386,Current_timestamp  , 147kc229,  SAP15611, 57SAT183
17894578372,7898079802,107122,159130,45984195046, qydt387,Current_timestamp  , 147kc230,  SAP15612, 57SAT184
17894578373,7898079803,107123,159131,45984195047, qydt388,Current_timestamp  , 147kc231,  SAP15613, 57SAT185
17894578374,7898079804,107124,159132,45984195048, qydt389,Current_timestamp  , 147kc232,  SAP15614, 57SAT186
17894578375,7898079805,107125,159133,45984195049, qydt390,Current_timestamp  , 147kc233,  SAP15615, 57SAT187
17894578376,7898079806,107126,159134,45984195050, qydt391,Current_timestamp  , 147kc234,  SAP15616, 57SAT188
17894578377,7898079807,107127,159135,45984195051, qydt392,Current_timestamp  , 147kc235,  SAP15617, 57SAT189
17894578378,7898079808,107128,159136,45984195052, qydt393,Current_timestamp  , 147kc236,  SAP15618, 57SAT190
17894578379,7898079809,107129,159137,45984195053, qydt394,Current_timestamp  , 147kc237,  SAP15619, 57SAT191
17894578380,7898079810,107130,159138,45984195054, qydt395,Current_timestamp  , 147kc238,  SAP15620, 57SAT192
17894578381,7898079811,107131,159139,45984195055, qydt396,Current_timestamp  , 147kc239,  SAP15621, 57SAT193
17894578382,7898079812,107132,159140,45984195056, qydt397,Current_timestamp  , 147kc240,  SAP15622, 57SAT194
17894578383,7898079813,107133,159141,45984195057, qydt398,Current_timestamp  , 147kc241,  SAP15623, 57SAT195
17894578384,7898079814,107134,159142,45984195058, qydt399,Current_timestamp  , 147kc242,  SAP15624, 57SAT196
17894578385,7898079815,107135,159143,45984195059, qydt400,Current_timestamp  , 147kc243,  SAP15625, 57SAT197
17894578386,7898079816,107136,159144,45984195060, qydt401,Current_timestamp  , 147kc244,  SAP15626, 57SAT198
17894578387,7898079817,107137,159145,45984195061, qydt402,Current_timestamp  , 147kc245,  SAP15627, 57SAT199
17894578388,7898079818,107138,159146,45984195062, qydt403,Current_timestamp  , 147kc246,  SAP15628, 57SAT200
17894578389,7898079819,107139,159147,45984195063, qydt404,Current_timestamp  , 147kc247,  SAP15629, 57SAT201
17894578390,7898079820,107140,159148,45984195064, qydt405,Current_timestamp  , 147kc248,  SAP15630, 57SAT202
17894578391,7898079821,107141,159149,45984195065, qydt406,Current_timestamp  , 147kc249,  SAP15631, 57SAT203
17894578392,7898079822,107142,159150,45984195066, qydt407,Current_timestamp  , 147kc250,  SAP15632, 57SAT204
17894578393,7898079823,107143,159151,45984195067, qydt408,Current_timestamp  , 147kc251,  SAP15633, 57SAT205
17894578394,7898079824,107144,159152,45984195068, qydt409,Current_timestamp  , 147kc252,  SAP15634, 57SAT206
17894578395,7898079825,107145,159153,45984195069, qydt410,Current_timestamp  , 147kc253,  SAP15635, 57SAT207
17894578396,7898079826,107146,159154,45984195070, qydt411,Current_timestamp  , 147kc254,  SAP15636, 57SAT208
17894578397,7898079827,107147,159155,45984195071, qydt412,Current_timestamp  , 147kc255,  SAP15637, 57SAT209
17894578398,7898079828,107148,159156,45984195072, qydt413,Current_timestamp  , 147kc256,  SAP15638, 57SAT210
17894578399,7898079829,107149,159157,45984195073, qydt414,Current_timestamp  , 147kc257,  SAP15639, 57SAT211
17894578400,7898079830,107150,159158,45984195074, qydt415,Current_timestamp  , 147kc258,  SAP15640, 57SAT212
17894578401,7898079831,107151,159159,45984195075, qydt416,Current_timestamp  , 147kc259,  SAP15641, 57SAT213
17894578402,7898079832,107152,159160,45984195076, qydt417,Current_timestamp  , 147kc260,  SAP15642, 57SAT214
17894578403,7898079833,107153,159161,45984195077, qydt418,Current_timestamp  , 147kc261,  SAP15643, 57SAT215
17894578404,7898079834,107154,159162,45984195078, qydt419,Current_timestamp  , 147kc262,  SAP15644, 57SAT216
17894578405,7898079835,107155,159163,45984195079, qydt420,Current_timestamp  , 147kc263,  SAP15645, 57SAT217
17894578406,7898079836,107156,159164,45984195080, qydt421,Current_timestamp  , 147kc264,  SAP15646, 57SAT218
17894578407,7898079837,107157,159165,45984195081, qydt422,Current_timestamp  , 147kc265,  SAP15647, 57SAT219
17894578408,7898079838,107158,159166,45984195082, qydt423,Current_timestamp  , 147kc266,  SAP15648, 57SAT220
17894578409,7898079839,107159,159167,45984195083, qydt424,Current_timestamp  , 147kc267,  SAP15649, 57SAT221
17894578410,7898079840,107160,159168,45984195084, qydt425,Current_timestamp  , 147kc268,  SAP15650, 57SAT222
17894578411,7898079841,107161,159169,45984195085, qydt426,Current_timestamp  , 147kc269,  SAP15651, 57SAT223
17894578412,7898079842,107162,159170,45984195086, qydt427,Current_timestamp  , 147kc270,  SAP15652, 57SAT224
17894578413,7898079843,107163,159171,45984195087, qydt428,Current_timestamp  , 147kc271,  SAP15653, 57SAT225
17894578414,7898079844,107164,159172,45984195088, qydt429,Current_timestamp  , 147kc272,  SAP15654, 57SAT226
17894578415,7898079845,107165,159173,45984195089, qydt430,Current_timestamp  , 147kc273,  SAP15655, 57SAT227
17894578416,7898079846,107166,159174,45984195090, qydt431,Current_timestamp  , 147kc274,  SAP15656, 57SAT228
17894578417,7898079847,107167,159175,45984195091, qydt432,Current_timestamp  , 147kc275,  SAP15657, 57SAT229
17894578418,7898079848,107168,159176,45984195092, qydt433,Current_timestamp  , 147kc276,  SAP15658, 57SAT230
17894578419,7898079849,107169,159177,45984195093, qydt434,Current_timestamp  , 147kc277,  SAP15659, 57SAT231
17894578420,7898079850,107170,159178,45984195094, qydt435,Current_timestamp  , 147kc278,  SAP15660, 57SAT232
17894578421,7898079851,107171,159179,45984195095, qydt436,Current_timestamp  , 147kc279,  SAP15661, 57SAT233
17894578422,7898079852,107172,159180,45984195096, qydt437,Current_timestamp  , 147kc280,  SAP15662, 57SAT234
17894578423,7898079853,107173,159181,45984195097, qydt438,Current_timestamp  , 147kc281,  SAP15663, 57SAT235
17894578424,7898079854,107174,159182,45984195098, qydt439,Current_timestamp  , 147kc282,  SAP15664, 57SAT236
17894578425,7898079855,107175,159183,45984195099, qydt440,Current_timestamp  , 147kc283,  SAP15665, 57SAT237
17894578426,7898079856,107176,159184,45984195100, qydt441,Current_timestamp  , 147kc284,  SAP15666, 57SAT238
17894578427,7898079857,107177,159185,45984195101, qydt442,Current_timestamp  , 147kc285,  SAP15667, 57SAT239
17894578428,7898079858,107178,159186,45984195102, qydt443,Current_timestamp  , 147kc286,  SAP15668, 57SAT240
17894578429,7898079859,107179,159187,45984195103, qydt444,Current_timestamp  , 147kc287,  SAP15669, 57SAT241
17894578430,7898079860,107180,159188,45984195104, qydt445,Current_timestamp  , 147kc288,  SAP15670, 57SAT242
17894578431,7898079861,107181,159189,45984195105, qydt446,Current_timestamp  , 147kc289,  SAP15671, 57SAT243
17894578432,7898079862,107182,159190,45984195106, qydt447,Current_timestamp  , 147kc290,  SAP15672, 57SAT244
